"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Source title,ISSN,EISSN,Publisher,FINAL COVERAGE ,,,
,,,,Year,Volume,Issue,Pagination
Academic Journal of Manufacturing Engineering,15837904,-,Editura Politechnica,2020,18,2,5-227
Acta Geoscientica Sinica,10063021,-,Science Press,2015,36,6,685-810
Acta Tabacaria Sinica,10045708,-,State Tobacco Monopoly Bureau and China Tobacco Society,2015,21,6,1-131
Advance Journal of Food Science and Technology,20424868,20424876,Maxwell Science Publications,2015,9,12,911-988
Advanced Materials Research,10226680,16628985,Trans Tech Publications Ltd,2014,1059,,1-133
Advances in Information Sciences and Service Sciences,19763700,22339345,Advanced Institute of Convergence Information Technology,2012,4,23,1-820
Advances in Intelligent Systems and Computing,21945357,21945365,Springer Science and Business Media B.V.,2021,1390,,3-430
Advances in Modelling and Analysis A,12585769,-,AMSE Press,2017,54,2,137-383
Advances in Modelling and Analysis B,12404543,-,AMSE Press,2017,60,2,283-524
Advances in Modelling and Analysis C,12404535,-,AMSE Press,2017,72,2,101-180
Agro Food Industry Hi-Tech,17226996,-,TeknoScienze,2017,28,6,4-72
"AMA - Agricultural Mechanization in Asia, Africa and Latin America",845841,-,Farm Machinery Industrial Research Corp.,2020,51,4,29-162
American Journal of Food Technology,15574571,1557458X,Academic Journals Inc.,2016,11,6,240-297
Annales de Chimie: Science des Materiaux,01519107,19585934,International Information and Engineering Technology Association,2021,45,5,361-430
Applied Mechanics and Materials,16609336,16627482,Trans Tech Publications Ltd,2014,694,,1-583
Beijing Gongye Daxue Xuebao/Journal of Beijing University of Technology,2540037,-,Beijing University of Technology,2012,38,12,1761-1920
Biotechnology,1682296X,16822978,ANSI Asian Network for Scientific Information,2018,17,3,104-157
Biotechnology: an Indian Journal,9747435,-,Trade Science Inc,2014,10,12,5791-6875
Boletín Técnico,0376723X,-,Universidad Central de Venezuela,2017,55,20,1-710
C + Ca,00456152,-,Techna Group,2011,41,2,105-145
Cailiao Kexue yu Gongyi/Material Science and Technology,10050299,-,Harbin Institute of Technology,2012,20,6,1-148
Cailiao Rechuli Xuebao/Transactions of Materials and Heat Treatment,10096264,-,Editorial Office of Transactions of Materials and Heat Treatment,2015,36,12,1-257
Carpathian Journal of Food Science and Technology ,20666845,-,North University of Baia Mare,2016,8,4,5-223
Chang'an Daxue Xuebao (Ziran Kexue Ban)/Journal of Chang'an University (Natural Science Edition),16718879,-,Editorial Department of Journal of Chang'an University (Natural Science Edition),2015,35,6,1-158
Chemical Engineering Transactions,-,22839216,Italian Association of Chemical Engineering - AIDIC,2018,70,,1-2208
Chemistry and Industry of Forest Products,02532417,-,Editorial Board of Chemistry and Industry of Forest Products,2015,35,6,1-162
China Welding (English Edition),10045341,-,China Welding,2015,24,4,1-80
Chinese Rare Earths,10040277,-,Editorial Office of Chinese Rare Earths,2015,36,6,1-154
Chongqing Daxue Xuebao/Journal of Chongqing University,1000582X,-,Editorial Board of Journal of Chongqing University,2012,35,12,1-162
Complex Systems and Complexity Science,16723813,-,Editorial Borad of Complex Systems and Complexity Science,2015,12,4,1-108
Computer Modelling and New Technologies,14075806,14075814,Transport and Telecommunication Institute,2014,18,12,7-370
Cybernetics and Information Technologies,13119702,13144081,Bulgarska Akademiya na Naukite 1,2016,16,6,5-266
Dalian Ligong Daxue Xuebao/Journal of Dalian University of,10008608,-,Dalian University of Technology,2012,52,6,781-936
Dandao Xuebao/Journal of Ballistics,1004499X,-,Nanjing University of Science and Technology,2012,24,4,1-110
Dianbo Kexue Xuebao/Chinese Journal of Radio Science,10050388,-,Chinese Research Institute of Radiowave Propagation,2015,30,6,1025-1240
Electronic Journal of Geotechnical Engineering ,-,10893032,Oklahoma State University,2016,21,27,10559-10696
Energy Education Science and Technology Part A: Energy Science and Research,1308772X,-,Sila Science,2014,32,6,4545-9186
Engineering Review,13309587,18490433,University of Rijeka,2016,36,3,197-314
European Journal of Electrical Engineering,21033641,21167109,International Information and Engineering Technology Association,2020,22,4-5,293-394
Fenmo Yejin Cailiao Kexue yu Gongcheng/Materials Science and Engineering of Powder Metallurgy,16730224,-,Central South University,2015,20,6,815-982
Frascati Physics Series ,11225157,-,Istituto Nazionale di Fisica Nucleare,2017,65,,1-156
Gaojishu Tongxin/Chinese High Technology Letters,10020470,-,Inst. of Scientific and Technical Information of China,2012,22,12,1219-1328
Gaoya Wuli Xuebao/Chinese Journal of High Pressure Physics,10005773,-,Chinese Journal of High Pressure Physics,2012,26,6,601-720
Geophysical Prospecting for Petroleum,10001441,-,Science Press,2015,54,6,635-795
Gongneng Cailiao/Journal of Functional Materials,10019731,-,Journal of Functional Materials,2015,46,24,24001-24152
Guangdianzi Jiguang/Journal of Optoelectronics Laser,10050086,-,Board of Optronics Lasers,2015,26,12,2251 -2439
"Gummi, Fasern, Kunststoffe",01761625,-,Dr. Gupta Verlag,2016,69,12,764-801
Guti Huojian Jishu/Journal of Solid Rocket Technology,10062793,-,Journal of Solid Rocket Technology,2015,38,6,751-902
Guti Lixue Xuebao/Acta Mechanica Solida Sinica,2547805,-,Huazhong University of Science and Technology,2012,33,6,557-654
Hangkong Cailiao Xuebao/Journal of Aeronautical Materials,10055053,-,Chinese Journal of Aeronautics,2012,32,6,1-101
ICGA Journal ,13896911,24682438,IOS Press,2017,39,2,85-172
ICIC Express Letters,1881803X,-,ICIC Express Letters Office,2016,10,12,2779-3022
"ICIC Express Letters, Part B: Applications",21852766,-,ICIC Express Letters Office,2016,7,12,2511-2724
Informacion Tecnologica,7168756,7180764,Centro de Informacion Tecnologica,2021,32,5,1-208
Ingenierie des Systemes d'Information,16331311,21167125,International Information and Engineering Technology Association,2020,25,5,543-707
Instrumentation Mesure Metrologie,16314670,22698485,International Information and Engineering Technology Association,2020,19,5,311-403
International Agricultural Engineering Journal,08582114,-,Asian Association for Agricultural Engineering,2020,29,2,1-429
International Journal of Advanced Media and Communication,14624613,17418003,Inderscience Publishers,2016,6,2/3/4,103-316
International Journal of Advancements in Computing Technology,20058039,22339337,Advanced Institute of Convergence Information Technology,2012,4,23,1-848
International Journal of Agricultural and Biological Engineering,19346344,19346352,Chinese Society of Agricultural Engineering,2015,8,6,1-166
International Journal of Business Data Communications and Networking,15480631,1548064X,IGI Global,2017,13,2,1-98
"International Journal Of Circuits, Systems And Signal Processing",-,19984464,North Atlantic University Union NAUN,2022,16,,1-550
International Journal of Computer Science Issues,16940784,16940814,International Journal of Computer Science Issues (IJCSI),2012,9,6-3,1-408
International Journal of Control and Automation,20054297,-,Science and Engineering Research Support Society,2016,9,12,1-472
