"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
PRINT ISSN,ONLINE ISSN,CHINESE TITLE (中文刊名),TRANSLITERATED TITLE (刊名翻译),ENGLISH/TRANSLATED TITLE (英文刊名),LANGUAGE (语言),Ei 2022 INDEXING STATUS (2022年Ei收录状况),"OPEN ACCESS (OA, verified as of February 1, 2023, see definition)
(开源期刊，2022年6月6日确认)"
03710025,-,声学学报,Shengxue Xuebao,Acta Acustica,Chinese,Renewed (保持收录),-
10006893,-,航空学报,Hangkong Xuebao,Acta Aeronautica et Astronautica Sinica,Chinese,Renewed (保持收录),-
10001093,-,兵工学报,Binggong Xuebao,Acta Armamentarii,Chinese,Renewed (保持收录),-
02544156,-,自动化学报,Zidonghua Xuebao,Acta Automatica Sinica,Chinese,Renewed (保持收录),-
03722112,-,电子学报,Tien Tzu Hsueh Pao,Acta Electronica Sinica,Chinese,Renewed (保持收录),-
02540096,-,太阳能学报,Taiyangneng Xuebao,Acta Energiae Solaris Sinica,Chinese,Renewed (保持收录),-
20960956,23657499,-,-,Acta Geochimica,English,Renewed (保持收录),-
10011595,-,测绘学报,Cehui Xuebao,Acta Geodaetica et Cartographica Sinica,Chinese,Renewed (保持收录),OA (DOAJ)
03755444,-,地理学报,Dili Xuebao,Acta Geographica Sinica,Chinese,Renewed (保持收录),-
00015717,-,地质学报,Dizhi Xuebao,Acta Geologica Sinica,Chinese,Renewed (保持收录),-
10003851,-,复合材料学报,Fuhe Cailiao Xuebao,Acta Materiae Compositae Sinica,Chinese,Renewed (保持收录),-
05677718,16143116,力学学报（英文版）,Lixue Xuebao,Acta Mechanica Sinica,English,Renewed (保持收录),-
08949166,18602134,-,-,Acta Mechanica Solida Sinica,English,Renewed (保持收录),-
04121961,-,金属学报,Jinshu Xuebao,Acta Metallurgica Sinica,Chinese,Renewed (保持收录),-
10067191,21941289,-,-,Acta Metallurgica Sinica (English Letters),English,Renewed (保持收录),-
02532239,-,光学学报,Guangxue Xuebao,Acta Optica Sinica,Chinese,Renewed (保持收录),-
02532697,-,石油学报,Shiyou Xuebao,Acta Petrolei Sinica,Chinese,Renewed (保持收录),-
10018719,-,石油学报: 石油加工,"Shiyou Xuebao, Shiyou Jiagong",Acta Petrolei Sinica (Petroleum Processing Section),Chinese,Renewed (保持收录),-
10000569,20958927,岩石学报,Yanshi Xuebao,Acta Petrologica Sinica,Chinese,Renewed (保持收录),-
10044213,-,光子学报,Guangzi Xuebao,Acta Photonica Sinica,Chinese,Renewed (保持收录),-
10003290,-,物理学报,Wuli Xuebao,Acta Physica Sinica,Chinese,Renewed (保持收录),-
4798023,-,北京大学学报(自然科学版),Beijing Daxue Xuebao Ziran Kexue Ban,Acta Scientiarum Naturalium Universitatis Pekinensis,Chinese,Renewed (保持收录),-
20963246,-,工程科学与技术,Gongcheng Kexue yu Jishu,Advanced Engineering Science,Chinese,Renewed (保持收录),-
25247921,2524793X,-,-,Advanced Fiber Materials,English,Renewed (保持收录),-
-,25425048,-,-,Advanced Industrial and Engineering Polymer Research,English,Renewed (保持收录),-
20953127,21953597,-,-,Advances in Manufacturing,English,Renewed (保持收录),-
10000992,-,力学进展,Lixue Jinzhan,Advances in Mechanics,Chinese,Renewed (保持收录),-
10016791,-,水科学进展,Shuikexue Jinzhan,Advances in Water Science,Chinese,Renewed (保持收录),-
02534827,15732754,-,-,Applied Mathematics and Mechanics (English Edition),English,Renewed (保持收录),-
10006931,-,原子能科学技术,Yuanzineng Kexue Jishu,Atomic Energy Science and Technology,Chinese,Renewed (保持收录),OA (DOAJ)
10001026,-,电力系统自动化,Dianli Xitong Zidonghua,Automation of Electric Power Systems,Chinese,Renewed (保持收录),-
1000680X,-,汽车工程,Qiche Gongcheng,Automotive Engineering,Chinese,Renewed (保持收录),-
20964250,25228765,-,-,Automotive Innovation,English,Renewed (保持收录),-
20960654,20960654,-,-,Big Data Mining and Analytics,English,Renewed (保持收录),OA (DOAJ)
20965524,25228552,-,-,Bio-Design and Manufacturing,English,Renewed (保持收录),-
20967209,26669536,-,-,Blockchain: Research and Applications,English,New (新收录),OA (DOAJ)
25244922,25244930,-,-,CCF Transactions on High Performance Computing,English,New (新收录),-
02532336,-,煤炭科学技术,Meitan Kexue Jishu,Coal Science and Technology (Peking),Chinese,Renewed (保持收录),OA (DOAJ)
