"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Source title,Source type,ISSN,EISSN,Publisher,Country/Region,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,"Open Access (OA, verified as of February 1, 2023, see definition)
(开源期刊，2023年2月1日确认)"
2D Materials,Journal,-,20531583,Institute of Physics,United States,Chemistry (all),Mechanical Engineering,Mechanics of Materials,Materials Science (all),Condensed Matter Physics,-,-,-,-
3D Printing and Additive Manufacturing,Journal,23297662,23297670,Mary Ann Liebert Inc.,United States,Industrial and Manufacturing Engineering,Materials Science (miscellaneous),-,-,-,-,-,-,-
3D Printing in Medicine,Journal,-,23656271,BioMed Central Ltd,United Kingdom,Computer Science Applications,Biomedical Engineering,"Radiology, Nuclear Medicine and Imaging",-,-,-,-,-,OA (DOAJ)
3DTV-Conference,Proceeding,21612021,2161203X,IEEE Computer Society,United States,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Vision and Pattern Recognition,Human-Computer Interaction,Electrical and Electronic Engineering,-,-,-,-
AAAI Fall Symposium - Technical Report,Proceeding,-,-,Association for the Advancement of Artificial Intelligence,United States,Engineering (all),-,-,-,-,-,-,-,-
AAAI Spring Symposium - Technical Report,Proceeding,-,-,Association for the Advancement of Artificial Intelligence,United States,Artificial Intelligence,-,-,-,-,-,-,-,-
AAAI Workshop - Technical Report,Proceeding,-,-,Association for the Advancement of Artificial Intelligence,United States,Engineering (all),-,-,-,-,-,-,-,-
AAC: Augmentative and Alternative Communication,Journal,07434618,14773848,Taylor and Francis Ltd.,United Kingdom,Rehabilitation,Speech and Hearing,-,-,-,-,-,-,-
AACE International Transactions,Proceeding,15287106,-,Association for the Advancement of Cost Engineering,United States,Engineering (all),-,-,-,-,-,-,-,-
AAPG Bulletin,Journal,01491423,-,American Association of Petroleum Geologists,United States,Earth and Planetary Sciences (miscellaneous),Geochemistry and Petrology,Geology,Energy Engineering and Power Technology,Fuel Technology,-,-,-,OA (DOAJ)
AATCC Journal of Research,Journal,-,23305517,SAGE Publications Inc.,United States,Process Chemistry and Technology,Materials Chemistry,Polymers and Plastics,-,-,-,-,-,-
AATCC Review,Trade journal,15328813,23305525,American Association of Textile Chemists and Colorists,United States,Chemical Engineering (all),Chemistry (miscellaneous),Materials Science (miscellaneous),-,-,-,-,-,-
ABB Review,Journal,10133119,-,ABB Corporate Management Services AG,Switzerland,Electrical and Electronic Engineering,Mechanical Engineering,-,-,-,-,-,-,-
Abel Symposia,Proceeding,21932808,21978549,Springer Science and Business Media Deutschland GmbH,Germany,Mathematics (all),-,-,-,-,-,-,-,-
ABU Technical Review,Journal,01266209,-,Asia Pacific Broadcasting Union,Malaysia,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Accident Analysis and Prevention,Journal,00014575,-,Elsevier Ltd,United Kingdom,"Safety, Risk, Reliability and Quality","Public Health, Environmental and Occupational Health",Human Factors and Ergonomics,Law,-,-,-,-,-
ACI Materials Journal,Journal,0889325X,-,American Concrete Institute,United States,Civil and Structural Engineering,Building and Construction,Materials Science (all),-,-,-,-,-,-
ACI Structural Journal,Journal,08893241,-,American Concrete Institute,United States,Civil and Structural Engineering,Building and Construction,-,-,-,-,-,-,-
